Date,ActualQuantity,Channel,Customer Country,Customer Desc,Customer Region,Geo Latitude,Geo Longitude,Location,Location Region,Location Type,Product Desc,Material Type,Product Group,Brand ID,Base UOM,Base UOM Desc.
2018-01-01,990,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-01-01,957,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-06-01,949,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,1039,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-05-01,549,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-06-01,799,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-06-01,899,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,1023,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-05-01,1900,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-05-01,2050,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-06-01,2300,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-02-01,1179,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-02-01,910,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-07-01,999,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,1099,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,670,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-07-01,666,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-07-01,747,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,890,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,2100,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,1750,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-07-01,1900,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-03-01,938,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-03-01,969,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-08-01,950,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,999,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,630,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-08-01,725,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-08-01,936,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,980,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,2000,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,1850,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-08-01,2145,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-04-01,1050,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-04-01,899,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-09-01,999,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,1080,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,690,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-09-01,699,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-09-01,738,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,910,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,2145,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,1800,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-09-01,2045,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-05-01,1125,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-05-01,1003,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-10-01,956,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,1099,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,640,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-10-01,749,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-10-01,890,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,959,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,2400,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,2100,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-10-01,2100,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-06-01,940,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-06-01,899,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-11-01,935,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-11-01,999,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,680,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-11-01,699,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-11-01,789,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,2200,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-11-01,903,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,1900,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-11-01,2100,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-07-01,1104,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-07-01,991,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-12-01,956,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-12-01,1107,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-11-01,610,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-12-01,709,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2018-11-01,1850,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-12-01,968,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-11-01,1780,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2018-12-01,1024,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-12-01,2100,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-08-01,859,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-08-01,805,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2019-01-01,905,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2019-01-01,1009,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,979,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2018-12-01,2070,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-12-01,2025,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2019-01-01,1859,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-12-01,659,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2019-01-01,679,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,ACTIVE LIFE PCH URO SM 16MM (1X5PK),Finished,OSTOMY,ACTIVE LIFE,EA,Each
2019-01-01,828,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2019-01-01,905,US,United States,United States Sales,AMERICAS,37.0902° N,95.7129° W,United States Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2019-02-01,940,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 45MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-09-01,890,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SUR-FIT/ACTIVE LIFE TAIL CLSR (1X10PK),Finished,OSTOMY,OTHER ACCESSORIES,EA,Each
2019-02-01,1189,CA,Canada,Canada Sales,AMERICAS,56.1304° N,106.3468° W,Canada Location,AMERICAS,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
2018-10-01,890,FR,France,France Sales,EMEA,46.2276° N,2.2137° E,France Location,EMEA,Plant,ESTEEM SYN+FLX WHT32/35MM PRECUT(1X10),Finished,OSTOMY,ESTEEM SYNERGY,EA,Each
2019-01-01,2225,TH,Thailand,Thailand Sales,APAC,15.8700° N,100.9925° E,Thailand Location,APAC,Plant,SURFIT NATURA WFR FLEX 70MM (1X10PK),Finished,OSTOMY,NATURA,EA,Each
